time,temperature_2m_c,shortwave_radiation_w_m2,source
2023-01-01 00:00:00,-3.939320,0.000000,synthetic_cold_temperate_benchmark
2023-01-01 01:00:00,-4.330898,0.000000,synthetic_cold_temperate_benchmark
2023-01-01 02:00:00,-4.533594,0.000000,synthetic_cold_temperate_benchmark
2023-01-01 03:00:00,-4.533594,0.000000,synthetic_cold_temperate_benchmark
2023-01-01 04:00:00,-4.330898,0.000000,synthetic_cold_temperate_benchmark
2023-01-01 05:00:00,-3.939320,0.000000,synthetic_cold_temperate_benchmark
2023-01-01 06:00:00,-3.385544,0.000000,synthetic_cold_temperate_benchmark
2023-01-01 07:00:00,-2.707310,0.000000,synthetic_cold_temperate_benchmark
2023-01-01 08:00:00,-1.950838,53.145138,synthetic_cold_temperate_benchmark
2023-01-01 09:00:00,-1.167681,143.886080,synthetic_cold_temperate_benchmark
2023-01-01 10:00:00,-0.411209,213.137985,synthetic_cold_temperate_benchmark
2023-01-01 11:00:00,0.267025,250.558251,synthetic_cold_temperate_benchmark
2023-01-01 12:00:00,0.820800,250.558251,synthetic_cold_temperate_benchmark
2023-01-01 13:00:00,1.212379,213.137985,synthetic_cold_temperate_benchmark
2023-01-01 14:00:00,1.415075,143.886080,synthetic_cold_temperate_benchmark
2023-01-01 15:00:00,1.415075,53.145138,synthetic_cold_temperate_benchmark
2023-01-01 16:00:00,1.212379,0.000000,synthetic_cold_temperate_benchmark
2023-01-01 17:00:00,0.820800,0.000000,synthetic_cold_temperate_benchmark
2023-01-01 18:00:00,0.267025,0.000000,synthetic_cold_temperate_benchmark
2023-01-01 19:00:00,-0.411209,0.000000,synthetic_cold_temperate_benchmark
2023-01-01 20:00:00,-1.167681,0.000000,synthetic_cold_temperate_benchmark
2023-01-01 21:00:00,-1.950838,0.000000,synthetic_cold_temperate_benchmark
2023-01-01 22:00:00,-2.707310,0.000000,synthetic_cold_temperate_benchmark
2023-01-01 23:00:00,-3.385544,0.000000,synthetic_cold_temperate_benchmark
2023-01-02 00:00:00,-3.990816,0.000000,synthetic_cold_temperate_benchmark
2023-01-02 01:00:00,-4.382395,0.000000,synthetic_cold_temperate_benchmark
2023-01-02 02:00:00,-4.585091,0.000000,synthetic_cold_temperate_benchmark
2023-01-02 03:00:00,-4.585091,0.000000,synthetic_cold_temperate_benchmark
2023-01-02 04:00:00,-4.382395,0.000000,synthetic_cold_temperate_benchmark
2023-01-02 05:00:00,-3.990816,0.000000,synthetic_cold_temperate_benchmark
2023-01-02 06:00:00,-3.437040,0.000000,synthetic_cold_temperate_benchmark
2023-01-02 07:00:00,-2.758806,0.000000,synthetic_cold_temperate_benchmark
2023-01-02 08:00:00,-2.002335,53.942655,synthetic_cold_temperate_benchmark
2023-01-02 09:00:00,-1.219177,144.792277,synthetic_cold_temperate_benchmark
2023-01-02 10:00:00,-0.462706,214.091987,synthetic_cold_temperate_benchmark
2023-01-02 11:00:00,0.215528,251.527681,synthetic_cold_temperate_benchmark
2023-01-02 12:00:00,0.769304,251.527681,synthetic_cold_temperate_benchmark
2023-01-02 13:00:00,1.160883,214.091987,synthetic_cold_temperate_benchmark
2023-01-02 14:00:00,1.363579,144.792277,synthetic_cold_temperate_benchmark
2023-01-02 15:00:00,1.363579,53.942655,synthetic_cold_temperate_benchmark
2023-01-02 16:00:00,1.160883,0.000000,synthetic_cold_temperate_benchmark
2023-01-02 17:00:00,0.769304,0.000000,synthetic_cold_temperate_benchmark
2023-01-02 18:00:00,0.215528,0.000000,synthetic_cold_temperate_benchmark
2023-01-02 19:00:00,-0.462706,0.000000,synthetic_cold_temperate_benchmark
2023-01-02 20:00:00,-1.219177,0.000000,synthetic_cold_temperate_benchmark
2023-01-02 21:00:00,-2.002335,0.000000,synthetic_cold_temperate_benchmark
2023-01-02 22:00:00,-2.758806,0.000000,synthetic_cold_temperate_benchmark
2023-01-02 23:00:00,-3.437040,0.000000,synthetic_cold_temperate_benchmark
2023-01-03 00:00:00,-4.039168,0.000000,synthetic_cold_temperate_benchmark
2023-01-03 01:00:00,-4.430747,0.000000,synthetic_cold_temperate_benchmark
2023-01-03 02:00:00,-4.633443,0.000000,synthetic_cold_temperate_benchmark
2023-01-03 03:00:00,-4.633443,0.000000,synthetic_cold_temperate_benchmark
2023-01-03 04:00:00,-4.430747,0.000000,synthetic_cold_temperate_benchmark
2023-01-03 05:00:00,-4.039168,0.000000,synthetic_cold_temperate_benchmark
2023-01-03 06:00:00,-3.485392,0.000000,synthetic_cold_temperate_benchmark
2023-01-03 07:00:00,-2.807158,0.000000,synthetic_cold_temperate_benchmark
2023-01-03 08:00:00,-2.050687,54.807955,synthetic_cold_temperate_benchmark
2023-01-03 09:00:00,-1.267530,145.773956,synthetic_cold_temperate_benchmark
2023-01-03 10:00:00,-0.511058,215.124620,synthetic_cold_temperate_benchmark
2023-01-03 11:00:00,0.167176,252.576642,synthetic_cold_temperate_benchmark
2023-01-03 12:00:00,0.720952,252.576642,synthetic_cold_temperate_benchmark
2023-01-03 13:00:00,1.112531,215.124620,synthetic_cold_temperate_benchmark
2023-01-03 14:00:00,1.315227,145.773956,synthetic_cold_temperate_benchmark
2023-01-03 15:00:00,1.315227,54.807955,synthetic_cold_temperate_benchmark
2023-01-03 16:00:00,1.112531,0.000000,synthetic_cold_temperate_benchmark
2023-01-03 17:00:00,0.720952,0.000000,synthetic_cold_temperate_benchmark
2023-01-03 18:00:00,0.167176,0.000000,synthetic_cold_temperate_benchmark
2023-01-03 19:00:00,-0.511058,0.000000,synthetic_cold_temperate_benchmark
2023-01-03 20:00:00,-1.267530,0.000000,synthetic_cold_temperate_benchmark
2023-01-03 21:00:00,-2.050687,0.000000,synthetic_cold_temperate_benchmark
2023-01-03 22:00:00,-2.807158,0.000000,synthetic_cold_temperate_benchmark
2023-01-03 23:00:00,-3.485392,0.000000,synthetic_cold_temperate_benchmark
2023-01-04 00:00:00,-4.084362,0.000000,synthetic_cold_temperate_benchmark
2023-01-04 01:00:00,-4.475940,0.000000,synthetic_cold_temperate_benchmark
2023-01-04 02:00:00,-4.678636,0.000000,synthetic_cold_temperate_benchmark
2023-01-04 03:00:00,-4.678636,0.000000,synthetic_cold_temperate_benchmark
2023-01-04 04:00:00,-4.475940,0.000000,synthetic_cold_temperate_benchmark
2023-01-04 05:00:00,-4.084362,0.000000,synthetic_cold_temperate_benchmark
2023-01-04 06:00:00,-3.530586,0.000000,synthetic_cold_temperate_benchmark
2023-01-04 07:00:00,-2.852352,0.000000,synthetic_cold_temperate_benchmark
2023-01-04 08:00:00,-2.095880,55.741322,synthetic_cold_temperate_benchmark
2023-01-04 09:00:00,-1.312723,146.831092,synthetic_cold_temperate_benchmark
2023-01-04 10:00:00,-0.556251,216.235670,synthetic_cold_temperate_benchmark
2023-01-04 11:00:00,0.121983,253.704832,synthetic_cold_temperate_benchmark
2023-01-04 12:00:00,0.675758,253.704832,synthetic_cold_temperate_benchmark
2023-01-04 13:00:00,1.067337,216.235670,synthetic_cold_temperate_benchmark
2023-01-04 14:00:00,1.270033,146.831092,synthetic_cold_temperate_benchmark
2023-01-04 15:00:00,1.270033,55.741322,synthetic_cold_temperate_benchmark
2023-01-04 16:00:00,1.067337,0.000000,synthetic_cold_temperate_benchmark
2023-01-04 17:00:00,0.675758,0.000000,synthetic_cold_temperate_benchmark
2023-01-04 18:00:00,0.121983,0.000000,synthetic_cold_temperate_benchmark
2023-01-04 19:00:00,-0.556251,0.000000,synthetic_cold_temperate_benchmark
2023-01-04 20:00:00,-1.312723,0.000000,synthetic_cold_temperate_benchmark
2023-01-04 21:00:00,-2.095880,0.000000,synthetic_cold_temperate_benchmark
2023-01-04 22:00:00,-2.852352,0.000000,synthetic_cold_temperate_benchmark
2023-01-04 23:00:00,-3.530586,0.000000,synthetic_cold_temperate_benchmark
2023-01-05 00:00:00,-4.126383,0.000000,synthetic_cold_temperate_benchmark
2023-01-05 01:00:00,-4.517962,0.000000,synthetic_cold_temperate_benchmark
2023-01-05 02:00:00,-4.720658,0.000000,synthetic_cold_temperate_benchmark
2023-01-05 03:00:00,-4.720658,0.000000,synthetic_cold_temperate_benchmark
2023-01-05 04:00:00,-4.517962,0.000000,synthetic_cold_temperate_benchmark
2023-01-05 05:00:00,-4.126383,0.000000,synthetic_cold_temperate_benchmark
2023-01-05 06:00:00,-3.572608,0.000000,synthetic_cold_temperate_benchmark
2023-01-05 07:00:00,-2.894374,0.000000,synthetic_cold_temperate_benchmark
2023-01-05 08:00:00,-2.137902,56.743051,synthetic_cold_temperate_benchmark
2023-01-05 09:00:00,-1.354745,147.963650,synthetic_cold_temperate_benchmark
